Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,,
2025-10-01 04:00:00+00:00,3888.60009765625,3888.60009765625,3892.199951171875,3885.800048828125,3889.5,1492
2025-10-01 04:30:00+00:00,3892.60009765625,3892.60009765625,3892.800048828125,3885.300048828125,3888.60009765625,2411
2025-10-01 05:00:00+00:00,3893.300048828125,3893.300048828125,3897.0,3890.39990234375,3892.39990234375,4142
2025-10-01 05:30:00+00:00,3890.800048828125,3890.800048828125,3894.10009765625,3889.39990234375,3893.300048828125,1844
2025-10-01 06:00:00+00:00,3889.39990234375,3889.39990234375,3891.800048828125,3880.300048828125,3890.699951171875,5982
2025-10-01 06:30:00+00:00,3887.10009765625,3887.10009765625,3892.699951171875,3885.39990234375,3889.5,3479
2025-10-01 07:00:00+00:00,3898.0,3898.0,3898.699951171875,3886.60009765625,3886.89990234375,5373
2025-10-01 07:30:00+00:00,3907.199951171875,3907.199951171875,3908.300048828125,3895.699951171875,3898.10009765625,9503
2025-10-01 08:00:00+00:00,3919.10009765625,3919.10009765625,3922.699951171875,3907.0,3907.39990234375,11776
2025-10-01 08:30:00+00:00,3920.10009765625,3920.10009765625,3921.10009765625,3915.10009765625,3919.10009765625,8679
2025-10-01 09:00:00+00:00,3913.5,3913.5,3922.39990234375,3911.60009765625,3920.199951171875,6346
2025-10-01 09:30:00+00:00,3916.800048828125,3916.800048828125,3919.5,3911.300048828125,3913.89990234375,4977
2025-10-01 10:00:00+00:00,3914.0,3914.0,3917.300048828125,3913.10009765625,3917.0,3286
2025-10-01 10:30:00+00:00,3914.699951171875,3914.699951171875,3917.39990234375,3912.699951171875,3913.89990234375,2829
2025-10-01 11:00:00+00:00,3909.0,3909.0,3915.89990234375,3908.300048828125,3915.10009765625,5814
2025-10-01 11:30:00+00:00,3911.10009765625,3911.10009765625,3912.0,3905.39990234375,3909.0,4483
2025-10-01 12:00:00+00:00,3904.89990234375,3904.89990234375,3918.800048828125,3902.5,3911.199951171875,14734
2025-10-01 12:30:00+00:00,3897.5,3897.5,3908.10009765625,3891.300048828125,3905.10009765625,15470
2025-10-01 13:00:00+00:00,3896.800048828125,3896.800048828125,3901.5,3890.699951171875,3897.300048828125,12650
2025-10-01 13:30:00+00:00,3899.800048828125,3899.800048828125,3904.10009765625,3894.0,3896.89990234375,14863
